year,course_name,course_description,reference
2024,"Specialist Diploma in Technology, Innovation & Analytics for Financial Sector Professionals","This course aims to equip the participants with future-enabled skillsUpon successful completion of the course, participants will be able:To learn and apply new Technologies & Tools used in the financial sectorTo use Data Analytics to improve on Decision-Making ProcessesTo adopt a Human-Centric approach to Innovation and Customer EngagementTo learn and manage Cyber Risks faced by financial institutionsTo understand Disruptive Fintech Innovations to the financial sector",https://www.sp.edu.sg/pace/courses/all-courses/course-details/specialist-diploma-in-technology-innovation-analytics-for-financial-sector-professionals
2024,Diploma (Conversion) in Maritime Business Management,"Singapore has claimed the top spot in a survey as the world’s leading maritime cities for the 3rd consecutive time (The Straits Times, 2017). Singapore was also ranked first in the report's 2015 and 2012 surveys that were conducted by Norwegian consultancy firm Menon Economics. This year, Singapore was ranked number one in three categories: shipping, ports and logistics, and attractiveness and competitivenessWork on the Tuas Port, which will be twice the size of Ang Mo Kio town, will also be opened progressively from 2021. When fully completed by 2040, it will be able to handle up to 65 million twenty-foot equivalent units (TEUs) of cargo a year, more than double what the port handled in 2016.In order to continue to maintain Singapore’s position as a global port hub and a premier international maritime centre, there is a need to establish a highly skilled and specialised workforce. Our Diploma (Conversion) in Maritime Business Management course is designed to equip the students with the necessary knowledge and skills to meet the demand of this industry.Participants are required to bring computer notebook when attending lessons, as you may need it to access the e-learning materials, writing reports, etc.The course is designed is to equip non-maritime graduates with the knowledge and skills in shipping operations and logistics/offshore management so that they can join the maritime industry as senior executives/junior managers and perform their jobs with a greater level of competence and understanding.",https://www.sp.edu.sg/pace/courses/all-courses/course-details/diploma-(conversion)-in-maritime-business-management
2024,Diploma (Conversion) in Supply Chain Management and Innovation,"This course aims to equip students with not only the foundational knowledge and skills, but also elements of innovation in logistics and supply chain management, so that they can be effective in meeting new demands and challenges of the marketplace.",https://www.sp.edu.sg/pace/courses/all-courses/course-details/diploma-(conversion)-in-supply-chain-management-innovation
2024,Specialist Diploma in Professional Accounting & Technology,"This course seeks to provide deepening of technical knowledge and skills required by the accountancy profession (in areas of International Financial Reporting Standards, auditing and taxation) as well as finance and technological skills needed by the profession. With deepening of the accounting skills coupled with technological skills, the graduate would be better equipped for the accounting sector.",https://www.sp.edu.sg/pace/courses/all-courses/course-details/specialist-diploma-in-professional-accounting-technology
2024,Specialist Diploma in Robotics & Automation (Advanced Robotics Application),"The SP Mechanical & Aeronautical School is pleased to introduce our Specialist Diploma in Robotics & Automation (Advanced Robotics Application) offering comprehensive and practical programs that provide relevant technical knowledge and skillsets in the field of robotics and automation in support of our nation’s drive towards Industry 4.0 transformation.As our industry sectors move up the value chain through the adoption of advanced manufacturing, the role of robotics and automation is fast evolving where it is no longer sufficient to simply maximize efficiency but also to be able to adapt swiftly to changing demands and requirements. Smart robotics systems and flexible automation are the engines as well as enablers in this transformation journey.In view of the foreseeable need and demand for people with the domain knowledge and competencies in smart robotics & automation, join us today for this 12-month stackable course and be equipped with future ready skillsets as a specialist in this emerging field!This course aims to equip trainees with the following critical knowledge and skills in Robotics & Automation:To provide trainees with hands-on practical experience in Robotics & Automation fundamentals.To provide relevant technical knowledge and skillsets in the field of advanced robotics application to meet the current and future requirements of advanced manufacturing industry.",https://www.sp.edu.sg/pace/courses/all-courses/course-details/specialist-diploma-in-robotics-automation-(advanced-robotics-application)
2024,Specialist Diploma in Robotics & Automation (Smart Intelligence),"The course aims to equip trainees with the following critical knowledge and skills in Robotics & Automation:To provide trainees with hands-on practical experience in Robotics & Automation fundamentals.To provide trainees with knowledge and skills in AI, Internet-of Things (IoTs), Machine Learning (ML) & Cloud Analytics in developing Intelligent Robotics applications.",https://www.sp.edu.sg/pace/courses/all-courses/course-details/specialist-diploma-in-robotics-automation-(smart-intelligence)
2024,Specialist Diploma in Workplace and Career Counselling,"This Specialist Diploma supports the upskilling needs of the current workforce in the human resource industry. Given the rapidly changing employment landscape in Singapore, workplace and career counselling is important as it provides employees in an organisation with socioemotional support to improve their psychological wellbeing. It also helps employees develop greater self-awareness to discover their career interests and preferences, and assess work motivations based on their strengths and capabilities to enable higher employability.Additionally, in recent years, awareness about mental health at the workplace has grown, both in the public and private sector. More companies have also adopted an Employee Assistance Programme (EAP) as part of their welfare benefits. This typically involves access to individual counselling sessions that employees can claim for, as well as other services such as mental health workshops. In view of this, this specialist diploma hopes to develop more managers and para-counsellors in the public and private sectors to be equipped with the hands-on knowledge of the contemporary tools and micro skills used in workplace counselling to support employees in any work context.",https://www.sp.edu.sg/pace/courses/all-courses/course-details/specialist-diploma-in-workplace-and-career-counselling
2024,DIPLOMA IN BORDER AND SECURITY MANAGEMENT,"The proposed course seeks to equip students with the knowledge and skills to carry out their job roles under the private and auxiliary police career track under the security industry in the areas of:border security functions,information management,security risk management,supervisory and business management, andtechnology trends and communication",https://www.sp.edu.sg/pace/courses/all-courses/course-details/diploma-in-border-security-management
2024,Specialist Diploma in Digital Marketing and Analytics,"The course is designed to facilitate life-long learning and bite-size acquisition of digital marketing and analytics skills to responsively meet the needs of working professionals. At the end of the course, the students will be able to:Understand and apply varied digital marketing strategies to different business models in reaching overall marketing objectives.Explore the many possibilities of Digital Marketing in streamlining business processes, support overall marketing objectives and to add brand value to an organization.Equip students with the skills and knowledge to analyze and optimize website performance with the use of web analytics software and methodologies. Students will learn to develop, optimize and execute search engine marketing plans and campaigns. Drive strategy for search engine marketing initiatives ensuring that revenue, budget, ROI and other business goals are met.Equip students with online tools and social media outreach for viral marketing and to foster interaction, engagement and discussion regarding the company’s products and services.Analyse unstructured textual data on social media platforms to gain insights to support business decision making as well as provide recommendations.",https://www.sp.edu.sg/pace/courses/all-courses/course-details/specialist-diploma-in-digital-marketing-analytics
2024,Specialist Diploma in Data Science (Predictive Analytics),"The need to handle, prepare, analyse and model data of varied structures is prevalent in the modern day industrial setting including industry sectors such as banking and finance, insurance, healthcare, telecommunications, design and manufacturing, and retail. This course provides graduates with fundamental skills in statistical analysis and predictive analytics that are required by jobs that involve managing, analysing and modelling data and extracting information that is useful to the business.The objectives of the Specialist Diploma in Data Science (Predictive Analytics) are to provide foundational training in the fundamental concepts and methods of statistics and programming for data science, as well as in specialized skill sets in the area of statistical modelling and prediction. Graduates of the course will be competent in preparing data, performing statistical analysis, building and deploying predictive models and quantifying risks associated with the prediction.",https://www.sp.edu.sg/pace/courses/all-courses/course-details/specialist-diploma-in-data-science-(predictive-analytics)
2024,Specialist Diploma in Enhanced Human Resource Skills,"The course is designed to:Provide students with the knowledge of some of the leading HR technologies and tools to improve HR efficiency and effectiveness across the various HR functions.Provide students with a working knowledge on design thinking tools to be more user-centric in dealing with HR challenges around systems, processes, procedures and policies.Equip students with the skills to utilise HR analytics tools and techniques to assess and solve HR and business challenges, such as talent acquisition, workforce development and productivity, and employee engagement.Equip students with positive psychology knowledge and skills to engage others, maximise employees’ potential through coaching, and manage work relationships and performance in an organisation.",https://www.sp.edu.sg/pace/courses/all-courses/course-details/specialist-diploma-in-enhanced-human-resource-skills
2024,Specialist Diploma in Network Security,"Rapid advances in Internet technologies and applications, and the subsequent proliferation of economic activity on the Internet have ushered in the digital age where virtually every organization wants to leverage this massive and ubiquitous public technology infrastructure. However, many companies have overlooked the need for cyber security. With online threats becoming more sophisticated in recent years, cyber security risks pose a challenge to many companies. The global threat of malware and hackers has never been higher, and the shortage of experts who can fight them has never been more acute. Rising demand for cybersecurity-related skillsets, in part to support the nation's Smart Nation vision, means that there is an urgent need for personnel trained in Network Security.In the survey on Infocomm Media Manpower conducted by the Infocomm Media Development Authority (IMDA) in 2018, IT Security Operations Analysts/Engineers were identified as critical emerging Tech specialist roles. Enterprises have projected that the demand for such specialists will grow by 4,700 in the period of 2018 – 2020.Cisco Consultant, Mr Wong Kwok Foong, has this to say about the importance of securing networks, “As we are entering an era of connecting the unconnected, utilizing more data than ever for work, safety and play, the network has become an integral part of any emerging technology. However, these technologies will only work as designed when they are not compromised by security threats. Expertise in the areas of networking and security are very important in today’s digital market to help enterprises gain competitive advantage through technology adoption, given the dynamic nature of the cybersecurity landscape.”The Specialist Diploma in Network Security offered by the School of EEE seeks to address the industrial demand for such specialists. The course intends to train and equip students with the practical knowledge and skills of Network Security.The course will cover the following areas:Network SecurityFirewall & Intrusion PreventionWireless Network & SecurityNetwork Analysis & ForensicsStudents will be enrolled into the Cisco Networking Academy and take modules in the CCNA -Security course.This course aims to train students in the areas of Network Security, Firewall & Intrusion Prevention, Wireless Network & Security, as well as Network Analysis & Forensics. Students will learn the fundamental concepts of Network Security in order to identify the threats and vulnerabilities of computer systems and networks and recommend appropriate counter measures like Firewall and Intrusion Prevention System (IPS).The Wireless Network and Security module provides students with a complete foundation of knowledge in Wireless Networking and the concepts of wireless security to prevent unauthorised access of wireless networks. Students will also be exposed to network analysis & forensics skills to understand the nature of network security breaches and exploits.",https://www.sp.edu.sg/pace/courses/all-courses/course-details/specialist-diploma-in-network-security
