Job Title,Company Name,Industry,City,Country,Employment Type,Work Arrangement,Min Experience (Years),Max Experience (Years),Salary Min (SGD),Salary Max (SGD),Skills
Software Test Engineer,GivEnergy Pte. Ltd.,Renewables & Environment,Singapore,Singapore,FULL_TIME,ONSITE,3,5,4500,7000.0,"Software Testing, Software Documentation, Software Quality Assurance"
Full Stack Software Engineer (Remote),Hypotenuse AI,Computer Software,Singapore,Singapore,FULL_TIME,REMOTE,0,50,1,,"Software Engineering, Backend Architecture, Algorithms"
Software QA Engineer (Includes Equity),Noak,Hospital & Health Care,Singapore,Singapore,FULL_TIME,REMOTE,0,50,1,,"Usability Testing, Software Testing, Test Automation, Manual Testing, QA Automation"
Software Developer,Cinch,Retail,Singapore,Singapore,FULL_TIME,REMOTE,3,5,2000,5000.0,"Laravel, React.js, Amazon Web Services (AWS)"
Intern Software Developer,Rsm Singapore,Accounting,Singapore,Singapore,FULL_TIME,ONSITE,0,1,700,1500.0,"jQuery, React.js, Software Development"
Software Intern - Mobile Experience,Aevice Health,Medical Devices,Singapore,Singapore,INTERNSHIP,ONSITE,0,1,1199,1200.0,"Kotlin, android studio, Java"
Software Product Management Intern,Savant Degrees,Information Technology and Services,Singapore,Singapore,FULL_TIME,REMOTE,0,1,1000,1200.0,"Project Management, Computer Science, Code Review"
Electrical Engineer,Encasa Asia Employment Services,Staffing and Recruiting,Singapore,Singapore,FULL_TIME,ONSITE,1,3,3800,7000.0,"Engineer, MEP, Electrical Engineering"
Software Developer Intern (Jun - Dec 2025),Aevice Health,Medical Devices,Singapore,Singapore,INTERNSHIP,ONSITE,0,1,1000,1200.0,"JavaScript, Communication Skills, Python"
Solution Sales Engineer,Aerowave technologies pte ltd,Information Technology and Services,Singapore,Singapore,FULL_TIME,HYBRID,1,3,60000,72000.0,"Customer Experience, Software Documentation, Kubernetes, Result Driven, Attention to Detail, Customer Support, Bilingual, Blockchain, Cloud Security, Business Development, Cybersecurity, Teamwork"
