Title,Company,Location,job_url,Job Description
Data Analyst - Marketplace Product,Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-marketplace-product-at-shopee-4139587015?position=1&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=tqzBB9kVYo6OHkWb3bbdag%3D%3D,"Job Description:
Collaborate closely with product managers and internal stakeholders to understand their problems/requirements and deliver actionable insights to shape product strategy
Work with large datasets to problem-solve, identify key business issues or opportunities, construct hypothesis, and investigate the “why” behind trends and observations"
"Junior Data Analyst - Business Intelligence, Regional Operations",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-business-intelligence-regional-operations-at-shopee-3727428385?position=2&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=FoLSqwuBykBWv0R6Db7JsA%3D%3D,"About The Team

Shopee’s Regional Operations constantly solving problems and introducing innovative solutions to improve platform usability and enhance end user experience for our buyers, sellers, and partners.

Our teams sit at the core of our business and collaborate with various departments to manage end-to-end e-commerce processes, and design scalable solutions to create impact across multiple markets. To do so, we deep dive into the fundamentals of each aspect and drive strategic initiatives to sharpen our policy, processes and features for greater product and operational excellence.



Our Business Intelligence Data Analysts go beyond performance monitoring and report - they play a crucial role in conducting in-depth data-powered analysis and research that drive key business decisions across Regional Operations.

We’re looking for a hands-on, motivated individual who enjoys complex problem-solving and deriving data-backed solutions to help drive high-impact business changes."
"Data Analyst - Seller&Ops, Marketplace (2025 Fresh Graduates)",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-seller-ops-marketplace-2025-fresh-graduates-at-shopee-4138890132?position=3&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=fVdSTJOucVgg38xHnKy4Gg%3D%3D,"About The Team

The primary responsibility for the data analytics team is to enhance product performance for the Shopee marketplace product team through data analysis, data empowerment, and data automation."
"Data Analyst, Regional BI & Planning (Campus Hiring 2025)",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-regional-bi-planning-campus-hiring-2025-at-shopee-4131690000?position=4&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=aaWJW0RJ2%2FXpq6xes%2BmY3w%3D%3D,"The Business Intelligence and Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As business intelligence specialists and data analysts, our scope of work is not limited to just performance monitoring and reporting, but also in proactively finding actionable insights to help drive high-impact business changes. Our end-to-end data solution reduces the gap between the business teams and technical teams, and achieves real ‘intelligence’ in the iteration cycle. Browse our Business Intelligence and Data Analytics team openings to see how you can make an impact with us."
Data Analyst,foodpanda,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-at-foodpanda-4128097088?position=5&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=gFWeuKBJ9eTfY2Uhc18Tmg%3D%3D,"About The Opportunity

We are seeking a dynamic Data Analyst to be part of our mission to drive impactful decisions across our 22 markets. Working within our Analytics team, you'll support the team by providing high-quality insights, maintaining data consistency, and collaborating with internal teams to assist in decision-making. This is a foundational role offering the opportunity to grow technical skills, gain exposure to high-impact projects, and learn from experienced data professionals.









foodpanda is part of the Delivery Hero Group, the world’s pioneering local delivery platform, our mission is to deliver an amazing experience—fast, easy, and to your door. We operate in over 70+ countries worldwide. Headquartered in Berlin, Germany. Delivery Hero has been listed on the Frankfurt Stock Exchange since 2017 and is part of the MDAX stock market index.



What we offer:



foodpanda is operated by Delivery Hero Group (“DH Group”) - the world’s leading local delivery platform, operating in 70+ markets across Asia, Europe, Latin America, the Middle East, and Africa. Delivery Hero started as a food delivery service in 2011 and now employs 40,000+ people globally. Additionally, Delivery Hero is pioneering quick commerce, the next generation of e-commerce, aiming to bring groceries and household goods to customers in under one hour and often in 20 to 30 minutes. Headquartered in Berlin, Germany, Delivery Hero has been listed on the Frankfurt Stock Exchange since 2017.

In July 2024, Delivery Hero SE merged three of its market-leading food delivery businesses, foodora and Yemeksepeti in Europe, and foodpanda in Asia. All three businesses now make up the second-largest organization within the Delivery Hero Group, and leading food and QCommerce delivery in 18 markets in both regions."
Data Analyst,Nicoll Curtin,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-nicoll-curtin-4179488832?position=6&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=TGINf98hCmDTDMg6%2FSRedg%3D%3D,"Our big tech client is looking for a Data Analyst with strong proficiency in SQL, Data Visualization (e.g. Tableau) and some experience in Python or R for data processing automation.

Responsibilities:"
Business Data Analyst,Wipro,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/business-data-analyst-at-wipro-4184725317?position=7&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=seX6%2B3ZP%2FaRHtkCz9uGgWg%3D%3D,"Looking for BAs and Data Analysts from each of the domains mentioned below.

1. Risk and finance domain
2. Data analytics background
3. Data analytics / banking domain
4. Data analytics/ risk background"
Data Analyst - Traffic & Content (2025 Fresh Graduates),Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-traffic-content-2025-fresh-graduates-at-shopee-4105640095?position=8&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=Psj%2BuxhwH1W5lEsvVzuvEQ%3D%3D,"About The Team

Shopee Traffic & Content team provides AI-based online services to our users. Behind the scenes, these services are powered by petabytes of data, numerous state-of-the-art machine learning algorithms, sophisticated and scalable service architectures, and creative business strategies. We create intelligence from massive seemingly nebulous data and turn innovative ideas into tangible products. We keep on breaking our systems’ limit to keep pace with Shopee's fast-growing business. We aim to deliver a “smart” shopping experience on users’ next click."
"Data Analyst - Business Intelligence, Regional Operations",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-business-intelligence-regional-operations-at-shopee-4086233658?position=9&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=Bv7ycCpoxdrJKZc%2BZa6VmQ%3D%3D,"About The Team

Shopee’s Regional Marketplace and Fulfilment Operations department is constantly solving problems and introducing innovative solutions to improve platform usability and enhance end user experience for our buyers, sellers, and partners.

Our teams sit at the core of our business and collaborate with various departments to manage end-to-end e-commerce processes, and design scalable solutions to create impact across multiple markets. To do so, we deep dive into the fundamentals of each aspect and drive strategic initiatives to sharpen our policy, processes and features for greater product and operational excellence.

Regional Marketplace and Fulfilment Operations includes the teams of Customer Service, Payment, Listings, Seller Operations, Returns & Refunds, Fraud, Logistics, and Warehouse.





Our Business Intelligence Data Analysts go beyond performance monitoring and report - they play a crucial role in conducting in-depth data-powered analysis and research that drive key business decisions across Regional Marketplace and Fulfilment Operations.

We’re looking for a hands-on, motivated individual who enjoys complex problem-solving and deriving data-backed solutions to help drive high-impact business changes.

You will be exposed to a multitude of functional areas across Shopee as you work on pivotal initiatives to improve our user experience, both within the various teams in Regional Marketplace and Fulfilment Operations and other teams such as Data Science/ Engineering and Product. Additionally, you will also receive guidance, training and support to help you attain valuable skills and grow professionally in your career."
Data Analyst,Ascendion,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-ascendion-4171653551?position=10&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=Wqso4LEC2W46etZa%2FBoUkA%3D%3D,"This role sits within the Global Markets, Demand Management (DM) team and will be based in Singapore. The candidate will be responsible to support and execute against the data targeting strategy for merchant business. The ultimate objective of this role is to generate customer demand and deliver quality leads to support the corporate sales teams across APAC in exceeding their revenue goals."
