,Title,Company,Link,Job Description
1,Software Engineer,PECKO ELECTRONICS INDUSTRIES PTE LTD,https://www.mycareersfuture.gov.sg/job/customer-service/software-engineer-pecko-electronics-industries-3590980f4a60b1bb8941d498a29a675d?source=MCF&event=Search,"	Min 4yrs experience in manufacturing environment
	Able to work independently and understand manufacturing process
	Able to integrate and implement software for production to improve productivity and efficiency
	Must be prepared to support/maintain/repair software at anytime"
2,Senior Software Engineer (Backend) - Min. 5-10 years exp,GETGO TECHNOLOGIES PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/senior-software-engineer-min-5-10-years-exp-getgo-technologies-dacb0b334f0cbb407dd9b9dbc69c7cb2?source=MCF&event=Search,"	Bachelor's degree in Computer Science, Software Engineering, or a related field
	5+ years of experience in backend development
	Proficiency in C# or Golang, with a willingness to learn both
	Strong experience with RESTful API development, and microservices architecture
	Strong knowledge of relational database concepts and experience in RDBMS
	Prior experience in cloud platforms (AWS, Azure, or GCP) and containerization (Docker)
	Strong problem-solving skills and attention to detail
	Strong understanding of data structures and algorithms
	Experience with version control systems (e.g., Git)
	Good communication skills and ability to work effectively in a team environment
	Eagerness to learn and adapt to new technologies and methodologies
	Experience working with software support tools such as Jira, Asana, Slack and Confluence spaces
	Experience in MQ, Kafka, and event-driven architecture an added advantage"
3,Project Officer (Computer Science / Software Engineering / Network Security Engineering),NANYANG TECHNOLOGICAL UNIVERSITY,https://www.mycareersfuture.gov.sg/job/sciences/project-officer-nanyang-technological-university-db566634389d93f5b38db8d50a4ee956?source=MCF&event=Search,"Key Responsibilities:
Design a secure protocol to link the blockchain and the physical world by attaching a smart tag with the physical component
Propose a novel and elegant consensus protocol based on verifiable random functions
Write a research paper to report the fundamental theoretical advances on blockchain scalability and security
Implement proof-of-concept prototypes for our designed blockchain-based system and conduct extensive experiments to evaluate its scalability and security
Write a research paper to report the design and implementation of our novel blockchain-based system for tracking supply chains
Job Requirements:
Bachelor’s degree in Computer Science, Software Engineering, Network Security Engineering or related areas
Good communication and coordination skills
Positive working attitude and a good team player
Strong sense of responsibility and able to work independently with minimal supervision
Self-motivated and able to multi-task"
4,Software Engineer,QUINNOX SOLUTIONS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-quinnox-solutions-308682bcf28095525020e8729fd82c01?source=MCF&event=Search,"Key Responsibilities:
Join an in-house engineering squad to drive excellence in design, development, and operations of the Commercial Cloud Platform.
Implement large-scale automation with cloud landing zones across multiple Cloud Service Providers in a government environment.
Develop and maintain a secure, scalable platform used by multiple government agencies, focusing on API development, backend automation (NodeJS/Python), and secure code deployment using CI/CD toolchains such as GitLab, Atlassian, and Terraform.
Requirements & Qualifications:
Bachelor's degree in Computer Science or a related field.
Strong advocate of Engineering and DevOps best practices.
8+ years of experience in API and backend development using NodeJS and Python.
Hands-on experience with cloud infrastructure deployment and automation.
Proficient in agile development, secure CI/CD pipelines, and deployment automation.
Knowledge of Infrastructure as Code (IaC), Policies as Code, and Git.
Familiarity with cloud services such as AWS, Azure, and Google Cloud Platform (GCP).
Willingness to learn and work on large-scale distributed systems.
Experience with code security and open-source tools.
Strong problem-solving skills, teamwork, and communication abilities.
"
5,Software Engineer (DSC / CY / Geo-Insights),ST ENGINEERING ADVANCED NETWORKS & SENSORS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-st-engineering-advanced-networks-sensors-0295b3267582548281fa3a03a568d88a?source=MCF&event=Search,"Be Part of Our Success
Design and develop front-end for commercial products.
Integrate front-end with backend business logic.
Work closely with product, business development and sales teams to understand business goals and determine application user interface requirements.
Provide pre and post sales technical support

Qualities We Value
Knowledge in Computer Science, Computer Engineering or related domain
3-5+ years developing modern web applications that are responsive and mobile friendly.
Should possess excellent web technology skills, particularly in HTML5, CSS3, Java Script.
Strong knowledge of ReactJS, Fast API.
Knowledge of Geo-spatial technologies such as GDAL, Open Layers, GeoServer will be an advantage.
Applicants should be motivated, proactive, able to work independently and results oriented.
Singaporean only
"
6,Full Stack Java Engineer,TOTAL EBIZ SOLUTIONS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/full-stack-java-engineer-total-ebiz-solutions-3502432007f4b13719febf6547f1d5d3?source=MCF&event=Search,"Roles & Responsibilities
• Experience working on reasonably large, high-availability software systems that have operated at scale. • Experience in modern full-stack web application technologies; experience in modern front-end engineering on Next.Js/React.js and Java/TypeScript on the backend is preferred. • Have a strong sense of what it means to be a technical leader, particularly as it relates to the suite of soft skills beyond just your technical chops. • Passion towards engineering excellence; you deeply understand that software engineering is a team sport, and you take pride in the craftsmanship aspect of software engineering. • Passion towards working for public good with interest. • Interest and experience in coaching and growing junior engineers."
7,Control Engineer,ASMPT SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/control-engineer-asmpt-singapore-51dba8496ffdc379847fa5fc99fc3084?source=MCF&event=Search,"Responsibilities:
Assist in the design and implementation of motion control systems for semiconductor packaging equipment, ensuring precision and efficiency.
Develop and fine-tune motion control algorithms, including PID, feedforward, and adaptive control, to enhance system performance.
Conduct system modeling, simulation, and analysis using MATLAB/Simulink or equivalent tools to support control strategy validation.
Perform tuning and optimization of servo control loops to improve motion accuracy and dynamic response.
Support vibration suppression, disturbance rejection, and trajectory planning efforts to enhance machine performance.
Collaborate with mechanical, electrical, and software engineers to ensure smooth system integration.
Contribute to feasibility studies and research on emerging motion control technologies for continuous innovation.
Assist in developing real-time embedded control software for motion controllers using DSPs, FPGAs, and microcontrollers.
Provide technical support and troubleshooting for motion control-related issues during machine testing and production.
Qualifications:
Bachelor's or Master's degree in Electrical, Mechanical, Automation, Mechatronics, or related fields.
Strong understanding of control theory, including system dynamics and stability analysis.
Hands-on experience with control system instrumentation, such as oscilloscopes, signal analyzers, laser sensors, and accelerometers.
Familiarity with system modeling, simulation, and analysis in time and frequency domains.
Experience with embedded control systems and motion control hardware is a plus.
"
8,Senior DevOps Engineer,FPT ASIA PACIFIC PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/senior-devops-engineer-fpt-asia-pacific-d7704fb04f7804ac5d008df24e29956e?source=MCF&event=Search,"Objectives and Responsibilities
Review existing systems DevOps setup and develop steps and processes for improvement
Build and provision new backend systems
Identify ways to automate and improve development and release processes
Ensure systems are secure against cybersecurity threats
Required Skills and Experience
Experience in AWS, Terraform
Experience in developing CI/CD pipelines, preferably Gitlab CI/CD
Proficiency with Python or Typescript
Experience with SQLAlchemy ORM and Async Python (for Python proficiency)
Experience with software engineering and systems design
Experience with implementing best practices for systems security
Preferred Qualifications
Bachelors degree in computer science, software engineering or a related field
"
9,Senior Control Engineer,ASMPT SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/senior-control-engineer-asmpt-singapore-afdb4e308e6732da2ea8c31dcb40c4ee?source=MCF&event=Search,"Responsibilities:
Design and implement motion control systems for semiconductor packaging equipment, ensuring high-precision and high-speed operations.
Develop and optimize advanced motion control algorithms, including PID, feedforward, adaptive, and model-based control, to achieve submicron precision motion and dynamic performance.
Conduct system modeling, simulation, and analysis to validate control strategies using MATLAB/Simulink or equivalent tools.
Perform tuning, optimization, and robustness analysis of servo control loops for precision motion systems.
Develop diagnostic and prognostic mechanisms to predict system performance, detect faults, and enhance machine reliability.
Work on vibration suppression, disturbance rejection, and trajectory planning to improve machine throughput and accuracy.
Collaborate with cross-functional teams (mechanical, electrical, and software engineers) to enhance overall system integration and performance.
Conduct feasibility studies and research on emerging motion control technologies to drive innovation in semiconductor packaging machinery.
Implement real-time embedded control software and firmware for motion controllers, working with DSPs, FPGAs, and microcontrollers.
Provide technical support and troubleshooting for motion control-related issues during machine development, testing, and production phases.
Qualifications:
Bachelor's, Master's, or PhD in Electrical, Mechanical, Automation, Mechatronics, or related fields.
Strong foundation in classical and modern control methodologies.
Hands-on experience with instrumentation such as oscilloscopes, dynamic signal analyzers, modal analysis tools, laser sensors, and accelerometers.
Familiarity with system analysis and modeling, particularly in time and frequency domains.
"
10,Software Engineer (SQL Developer),IFIS ASIA HOLDINGS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/software-engineer-ifis-asia-holdings-2f09d1ecc241415af26cd82a4b85403b?source=MCF&event=Search,"Responsibilities:
IFIS is looking for a Software Engineer who experienced in Oracle database and PL/SQL development for a local banking project.
Involved in the software development maintenance and life cycle including application development, implementation, maintenance and post-implementation review.
Analyse and support(L3) existing system
Coordinate with users on testing & UAT environment setup.
High sense of ownership of task assigned, deliver applications with high quality and efficiency.
Escalate issues promptly and perform necessary follow-up.
Uses agile methodologies to produce quality solutions.
Requirements:
Candidate must possess at least an Advanced Diploma in Engineering (Computer/Telecommunication), Computer Science/Information Technology or equivalent.
Working experience in Oracle Database, PL/SQL
Familiar with Windows/Linux shell script
Experience in Equity Trading & Settlement System is a plus.
Experience in test/release automation (CICD) is a plus
Good analytical and problem-solving skill.
Good communication skills.
"
